date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260922,-0.23,-0.45,0.09,-0.21,-0.01,-0.41
19260923,-0.16,0.21,0.04,0.18,0.29,0.04
19260924,0.58,0.50,0.51,0.80,0.56,0.69
19260925,0.52,0.14,-0.24,0.28,0.18,-0.14
19260927,-0.06,-0.12,0.52,-0.06,-0.17,0.21
19260928,0.06,0.11,-0.37,0.06,0.00,-0.18
19260929,-0.03,0.17,-0.42,-0.33,-0.31,-0.06
19260930,-0.20,0.39,0.15,0.50,0.25,0.24
19261001,0.44,0.66,0.46,1.20,0.44,0.72
19261002,-0.30,0.01,-0.22,-0.10,-0.02,-0.29
19261004,-1.83,-1.34,-1.74,-1.52,-1.30,-1.58
19261005,-0.31,-1.24,-1.00,-1.01,-1.13,-1.67
19261006,-1.32,-1.37,-1.34,-0.56,-0.27,-0.98
19261007,-0.46,-0.44,-0.29,-1.00,-0.59,-0.67
19261008,-0.33,0.70,0.66,0.79,0.38,0.83
19261009,-0.36,-0.44,-0.68,-1.11,-0.79,-0.93
19261011,-0.60,-1.23,-0.72,-0.82,-0.51,-0.84
19261013,1.03,0.28,0.46,0.79,0.63,1.39
19261014,-0.01,0.62,1.48,0.97,0.88,1.65
19261015,-1.82,-1.98,-2.02,-2.19,-1.49,-2.35
19261016,-1.17,-1.02,-0.81,-0.97,-0.49,-0.60
19261018,-0.11,0.85,1.00,0.91,0.58,0.58
19261019,-0.47,-0.41,-1.54,-1.45,-0.71,-1.38
19261020,-0.47,-0.91,-1.53,0.22,-0.28,-1.13
19261021,1.45,1.28,2.10,1.64,1.44,2.09
19261022,0.12,-0.74,0.40,-0.72,-0.22,-0.47
19261023,0.99,0.92,1.32,0.66,0.34,0.70
19261025,0.61,0.00,0.30,-0.18,-0.03,0.02
19261026,0.33,0.19,0.73,0.33,0.36,0.39
19261027,0.68,0.97,0.62,1.24,0.77,1.51
19261028,0.28,0.42,0.80,-0.21,-0.05,-0.22
19261029,-0.01,-0.16,-0.27,-0.02,-0.04,-0.33
19261030,-0.39,0.02,-0.03,-0.46,-0.20,-0.39
19261101,1.00,0.25,0.00,0.48,0.47,0.69
19261103,0.32,-0.09,-0.18,0.37,0.07,0.21
19261104,0.28,0.71,1.08,0.61,0.70,1.12
19261105,-0.04,0.03,0.10,-0.08,0.19,0.30
19261106,0.01,0.21,-0.35,-0.02,0.33,0.44
19261108,0.51,0.43,0.62,0.55,0.59,0.80
19261109,0.54,-0.15,0.37,0.33,0.07,-0.60
19261110,-0.51,-0.39,-0.48,-0.68,-0.65,-0.48
19261111,0.44,1.24,0.52,0.69,0.65,0.70
19261112,0.67,0.08,0.03,0.30,0.36,0.16
19261113,0.17,-0.27,-0.30,-0.32,-0.27,-0.21
19261115,0.53,0.62,0.31,0.21,0.46,0.06
19261116,-0.61,0.10,0.06,0.70,-0.13,-0.15
19261117,-1.14,-0.21,-0.49,-0.34,-0.39,-0.13
19261118,-0.46,-0.17,-0.21,-0.48,-0.52,-0.29
19261119,0.08,-0.26,-0.09,-0.80,-0.66,-0.58
19261120,0.43,0.36,0.51,0.32,0.48,0.46
19261122,0.95,0.97,0.57,0.76,0.53,0.73
19261123,0.19,0.08,0.69,0.32,0.37,0.10
19261124,-0.33,0.25,0.03,0.19,0.19,0.34
19261126,0.32,0.30,0.28,0.35,0.15,0.29
19261127,-0.03,-0.24,-0.39,-0.11,-0.11,-0.34
19261129,-0.60,-0.04,-0.71,-0.48,-0.23,-0.22
19261130,0.55,-0.21,0.12,0.33,0.29,-0.21
19261201,0.59,0.73,-0.02,0.49,0.25,0.39
19261202,0.96,-0.05,0.88,0.48,0.59,0.72
19261203,0.48,0.05,0.59,0.61,0.02,0.42
19261204,-0.35,0.22,-0.03,-0.27,-0.10,-0.33
19261206,0.56,0.38,-0.04,0.03,0.03,-0.06
19261207,0.67,0.04,-0.10,-0.06,-0.05,-0.29
19261208,0.49,-0.01,0.46,-0.05,-0.11,0.43
19261209,0.30,0.43,0.67,0.46,0.40,0.97
19261210,0.29,0.13,0.56,0.14,0.46,0.84
19261211,0.54,-0.24,-0.43,0.01,0.17,0.07
19261213,0.54,0.89,1.27,0.69,0.14,0.00
19261214,0.04,0.09,0.18,0.12,0.19,0.22
19261215,-0.23,-0.44,0.35,0.14,0.20,-0.06
19261216,-1.26,-0.57,-0.92,-0.71,-0.47,-1.00
19261217,0.02,0.41,0.70,0.74,1.23,1.34
19261218,-0.08,0.05,0.59,0.55,0.38,0.33
19261220,-0.12,-0.18,-0.42,-0.36,-0.28,-0.26
19261221,-0.59,0.04,-0.75,0.08,-0.10,-0.12
19261222,-0.06,-0.13,-0.51,0.34,-0.21,-0.10
19261223,0.53,0.34,-0.14,0.31,0.35,-0.03
19261224,0.00,0.18,1.13,0.58,0.12,-0.02
19261227,-0.08,-0.59,-0.77,-0.37,-0.18,-0.34
19261228,-1.42,-0.78,-1.56,-1.18,-1.02,-1.48
19261229,0.45,-0.03,0.50,0.58,0.39,0.50
19261230,-0.04,0.36,-0.13,-0.64,-0.13,-0.40
19261231,0.33,0.48,1.23,0.16,0.37,0.57
19270103,-0.40,-1.00,-0.49,-1.07,-0.58,-0.80
19270104,0.97,0.50,-0.08,0.55,0.16,0.28
19270105,0.96,0.25,0.49,0.31,-0.06,0.05
19270106,-0.20,-0.14,-0.18,-0.21,-0.25,0.08
19270107,0.72,-0.19,0.57,0.23,0.36,1.20
19270108,0.08,0.98,0.10,0.34,0.51,0.74
19270110,0.58,0.12,0.28,0.10,0.11,0.49
19270111,-1.12,0.03,-0.27,-0.52,-0.15,0.28
19270112,-0.27,0.15,0.02,0.10,0.12,-0.01
19270113,0.11,0.18,-0.24,-0.21,0.13,-0.42
19270114,-0.73,-0.92,-0.06,-0.25,0.17,0.79
19270115,-0.02,0.59,0.80,0.07,0.08,0.93
19270117,-0.28,-0.09,0.26,-0.32,0.09,0.45
19270118,-0.27,-0.72,0.16,0.23,-0.22,-0.13
19270119,1.01,0.49,0.06,0.82,0.51,0.33
19270120,-0.39,-0.17,-0.47,-0.13,-0.20,0.10
19270121,-0.05,-0.11,2.17,-0.07,-0.02,0.21
19270122,-0.26,-0.29,0.30,-0.45,-0.23,-0.28
19270124,-0.81,0.12,1.15,-0.70,-0.48,0.33
19270125,-1.58,-1.70,-2.49,-0.82,-1.04,-2.36
19270126,-0.07,0.35,0.85,0.26,0.21,0.24
19270127,-0.31,-0.34,-0.77,-0.38,-0.29,-0.72
19270128,-0.30,0.25,1.15,0.26,0.06,0.29
19270129,0.99,0.65,-0.05,0.84,0.67,1.22
19270131,0.87,0.77,0.73,0.77,0.39,0.79
19270201,-0.05,0.21,1.71,-0.05,-0.06,0.26
19270202,0.59,0.23,0.86,0.85,0.69,0.72
19270203,0.27,0.58,0.30,0.30,0.10,0.07
19270204,0.09,0.19,1.64,-0.08,0.52,0.92
19270205,0.06,0.22,0.38,-0.36,-0.14,0.25
19270207,-0.22,0.22,1.23,0.04,-0.18,-0.45
19270208,-0.01,0.22,1.19,-0.06,0.11,0.52
19270209,-0.47,0.07,-1.80,0.10,0.04,0.30
19270210,0.90,0.56,-0.27,0.22,0.11,0.09
19270211,-0.06,0.40,-0.96,0.36,0.33,0.33
19270214,0.57,0.78,0.13,0.84,0.33,0.49
19270215,0.47,-0.17,-0.48,-0.05,0.13,0.55
19270216,-0.53,0.21,1.13,-0.37,0.11,0.97
19270217,0.61,0.48,0.86,-0.06,0.38,1.32
19270218,-0.55,-0.32,-0.58,0.26,0.44,0.04
19270219,0.47,-0.02,0.28,0.23,-0.13,-0.42
19270221,0.30,-0.25,-0.62,-0.04,-0.20,-0.84
19270223,0.53,0.70,0.42,1.15,0.49,1.03
19270224,0.50,0.54,0.53,0.11,0.15,0.38
19270225,0.23,0.62,0.35,0.59,0.08,-0.26
19270226,0.43,-0.14,-0.25,0.01,0.00,0.56
19270228,-0.22,0.88,0.29,0.95,0.22,0.89
19270301,-0.70,-0.20,-0.92,-0.30,-0.27,-1.09
19270302,-1.03,-1.77,-1.45,-1.31,-0.98,-1.47
19270303,0.95,0.77,1.33,1.24,1.00,0.91
19270304,-0.05,-0.84,-0.14,-0.41,-0.61,-0.62
19270305,0.49,0.16,-0.06,-0.24,-0.34,-0.56
19270307,-0.68,-0.10,-1.13,-0.25,-0.42,-0.98
19270308,-0.21,-0.51,-0.41,0.48,-0.02,0.12
19270309,0.55,1.29,0.81,0.68,0.34,0.98
19270310,0.13,0.60,0.91,0.35,0.51,0.40
19270311,0.01,-0.17,0.20,0.13,0.24,0.45
19270312,0.19,-0.09,-0.20,0.10,-0.13,0.12
19270314,0.53,0.26,-0.21,0.64,0.01,-0.30
19270315,-0.93,-0.67,-1.50,-0.89,-0.73,-1.05
19270316,0.75,0.21,0.59,0.88,1.27,0.77
19270317,0.11,-0.03,-0.21,0.39,0.53,-0.01
19270318,-1.03,-0.69,-0.92,-0.57,-0.90,-1.30
19270319,0.06,-0.03,-0.06,0.08,0.09,-0.21
19270321,-0.33,-0.42,-0.32,0.05,0.35,0.18
19270322,-0.86,-1.29,-1.27,-1.24,-0.79,-1.83
19270323,-0.03,0.09,0.60,0.04,0.19,0.45
19270324,0.58,1.14,0.53,0.83,0.55,0.96
19270325,0.59,0.80,0.15,0.20,0.01,0.01
19270326,0.41,0.11,0.76,0.21,0.44,0.12
19270328,0.24,1.07,0.13,0.76,0.39,1.01
19270329,-0.55,0.42,-0.96,-0.11,-0.20,-0.46
19270330,-0.94,-0.73,0.89,-0.58,-0.62,0.00
19270331,-0.48,-0.30,-0.23,0.16,0.39,0.86
19270401,-0.05,0.21,-0.62,0.12,-0.08,0.08
19270402,0.23,-0.02,0.28,0.05,-0.15,0.09
19270404,0.14,0.33,1.48,0.55,0.57,1.40
19270405,0.48,-0.16,0.73,0.87,0.45,0.59
19270406,0.01,0.38,-0.29,0.00,0.17,0.18
19270407,-0.17,-0.11,0.13,0.12,0.30,0.44
19270408,0.80,-0.18,1.18,0.62,0.02,0.14
19270409,-0.63,-0.36,0.36,0.15,-0.15,-0.13
19270411,0.20,0.06,0.21,0.39,-0.01,0.06
19270412,-0.26,0.06,0.12,-0.47,-0.21,-0.98
19270413,1.10,0.47,-0.50,0.65,0.04,0.14
19270414,0.79,0.50,0.12,-0.09,0.20,0.22
19270416,0.48,0.77,0.86,0.21,0.06,0.18
19270418,-0.59,-0.10,0.47,-0.03,-0.13,0.47
19270419,-0.22,0.32,0.44,0.36,0.08,0.33
19270420,-0.79,0.03,0.80,0.30,0.28,0.50
19270421,0.25,0.62,-0.40,1.06,-0.03,0.20
19270422,-0.69,-0.17,-0.04,0.37,-0.03,-0.20
19270423,0.07,-0.21,-0.12,-0.45,-0.26,-0.19
19270425,-1.82,-1.66,-1.57,-2.03,-1.17,-1.98
19270426,0.41,0.65,0.44,0.93,0.42,-0.03
19270427,-0.57,-0.17,-0.03,-0.17,-0.48,-0.38
19270428,-1.04,-1.16,-1.09,-1.10,-1.00,-1.61
19270429,0.48,0.47,0.43,0.70,0.32,0.28
19270430,0.03,0.33,0.09,0.00,0.05,-0.23
19270502,0.44,0.11,1.21,0.41,0.09,0.59
19270503,1.46,0.71,0.29,0.94,0.65,0.81
19270504,0.68,0.94,0.76,1.00,0.67,1.16
19270505,0.85,0.19,0.39,0.14,0.36,-0.02
19270506,-0.31,-0.01,0.97,0.18,0.24,0.61
19270507,0.72,0.55,0.16,0.26,0.47,-0.06
19270509,0.12,0.37,0.70,0.35,0.05,0.54
19270510,-0.14,-0.31,-0.09,-0.23,0.07,-0.04
19270511,-0.27,-0.36,-0.14,-0.30,-0.01,-0.34
19270512,-0.91,-0.60,0.02,-0.10,-0.10,-0.29
19270513,0.67,0.17,0.35,0.58,0.54,0.35
19270514,0.16,-0.01,0.44,-0.06,0.03,-0.27
19270516,-0.14,-0.37,-0.41,-0.91,-0.59,-0.98
19270517,0.85,0.10,1.01,0.53,0.40,0.89
19270518,-0.13,-0.19,0.15,0.80,0.16,0.56
19270519,-0.20,0.23,-0.67,0.13,0.17,0.23
19270520,0.30,-0.24,0.08,0.11,0.63,1.24
19270521,0.72,0.25,0.50,0.17,0.19,0.51
19270523,-0.11,0.42,1.13,-0.21,0.13,0.08
19270524,-0.76,0.11,1.02,-0.14,-0.02,-0.44
19270525,0.28,0.27,1.87,0.56,-0.09,-0.18
19270526,0.00,-0.17,0.66,0.00,0.29,0.31
19270527,0.68,0.85,0.76,0.42,0.50,0.30
19270528,0.69,0.47,1.59,0.33,0.07,0.33
19270531,-0.26,-0.22,-0.02,0.33,0.14,0.93
19270601,-0.32,1.92,-0.24,0.47,0.21,0.72
19270602,-0.48,0.26,0.16,0.19,-0.05,0.13
19270603,-0.67,-0.92,-1.20,-0.91,-0.73,-1.70
19270604,0.45,0.48,0.83,0.53,0.33,0.50
19270606,0.16,0.25,2.04,0.42,0.52,0.87
19270607,-0.37,0.58,-0.15,-0.34,-0.33,-0.93
19270608,0.11,0.50,0.23,0.04,0.41,0.77
19270609,1.01,0.24,-0.47,0.17,-0.07,0.09
19270610,-0.18,-0.62,-0.20,-0.13,-0.43,-0.77
19270611,-0.26,-0.17,-0.58,-0.01,-0.05,-0.12
19270614,-0.97,-1.76,-2.24,-1.83,-1.27,-1.85
19270615,0.95,1.24,1.19,1.08,0.70,1.24
19270616,0.63,0.47,0.18,1.01,0.25,1.04
19270617,0.26,1.76,1.12,0.01,0.06,1.06
19270618,-0.39,0.30,0.48,-0.13,-0.17,0.12
19270620,0.64,0.10,-0.30,-0.25,-0.17,-0.43
19270621,-0.91,-0.47,-0.24,-0.29,-0.31,-0.16
19270622,0.42,0.00,-0.35,0.31,-0.21,-0.10
19270623,-0.78,-1.16,-2.14,-0.90,-0.66,-1.17
19270624,-0.05,0.27,0.45,0.37,-0.02,0.28
19270625,-0.08,-0.20,-0.16,-0.16,-0.12,0.16
19270627,-1.45,-2.11,-2.14,-1.27,-0.93,-1.73
19270628,0.38,0.62,0.08,0.49,0.22,0.43
19270629,0.26,0.07,-0.21,0.17,-0.10,-0.20
19270630,-0.05,-0.24,-0.18,0.03,-0.08,-0.21
19270701,0.85,0.46,0.81,0.78,0.68,0.61
19270702,0.77,0.39,1.24,0.64,0.42,0.49
19270705,0.33,0.82,0.37,0.99,0.53,1.25
19270706,0.83,0.69,0.71,0.45,0.65,0.46
19270707,-0.26,0.03,-0.16,-0.31,-0.06,-0.46
19270708,-0.77,-0.50,-0.44,-0.16,-0.13,-0.23
19270709,0.06,0.33,0.43,0.39,0.02,-0.19
19270711,-0.25,0.26,0.06,0.48,0.37,0.79
19270712,-0.51,0.25,0.32,0.31,0.46,0.46
19270713,1.10,0.00,0.48,0.04,0.59,0.41
19270714,0.87,0.21,-0.10,0.72,0.29,0.08
19270715,0.67,0.06,0.06,0.38,0.13,0.27
19270716,0.41,0.41,0.31,0.13,0.07,0.56
19270718,0.03,0.24,-0.03,0.27,0.00,0.42
19270719,-0.52,0.84,0.25,0.37,0.30,0.38
19270720,0.71,0.41,0.13,0.78,0.25,-0.13
19270721,0.08,0.00,-0.27,0.08,-0.04,-0.60
19270722,-0.11,-0.25,-0.31,-0.06,0.03,-0.37
19270723,0.34,0.23,0.56,0.28,-0.03,0.40
19270725,0.20,0.00,0.23,0.54,0.37,0.60
19270726,-0.04,-0.15,0.00,0.41,0.21,0.00
19270727,-0.53,-0.13,-0.55,0.11,0.23,0.02
19270728,-0.12,0.08,-0.32,0.20,0.29,-0.04
19270729,0.00,0.26,0.62,0.76,0.34,0.62
19270730,0.09,0.20,-0.42,0.31,0.62,1.25
19270801,0.44,0.14,0.56,0.67,0.41,0.72
19270802,0.08,0.41,0.02,0.88,0.47,0.37
19270803,0.05,-0.51,-0.49,-0.56,-0.78,-0.95
19270804,0.74,0.45,0.99,1.17,0.79,1.13
19270805,-0.46,-0.49,-0.56,-0.70,-0.35,-1.43
19270806,0.38,0.00,-0.43,-0.19,-0.07,-0.08
19270808,-0.51,-0.33,-1.12,-1.16,-1.05,-1.60
19270809,0.72,0.23,1.55,0.97,0.93,1.07
19270810,0.28,0.07,0.00,0.27,0.35,-0.09
19270811,-1.08,-1.82,-1.58,-1.20,-0.66,-1.24
19270812,-1.58,-2.12,-2.72,-1.46,-1.55,-2.23
19270813,0.87,0.66,0.86,1.03,0.75,1.30
19270815,1.00,1.28,2.04,1.27,1.15,1.99
19270816,0.58,0.52,0.77,0.53,0.70,0.51
19270817,1.10,0.63,0.79,0.36,0.25,0.37
19270818,-0.12,-0.41,-0.04,0.01,0.17,-0.04
19270819,0.21,0.16,0.33,0.39,-0.03,-0.30
19270820,0.40,0.29,0.22,0.61,0.11,0.08
19270822,0.15,0.09,0.42,0.42,0.37,0.43
19270823,0.18,-0.16,0.25,-0.03,0.24,0.11
19270824,0.44,0.07,0.14,0.37,0.00,0.20
19270825,0.16,-0.45,-0.61,0.27,-0.16,-0.52
19270826,-0.39,0.06,0.01,0.52,-0.03,0.04
19270827,-0.07,0.29,0.14,0.03,-0.18,-0.44
19270829,-0.20,-0.23,0.41,-0.10,0.08,-0.07
19270830,-0.09,-0.54,-0.85,0.07,-0.05,-0.61
19270831,-0.76,-0.53,-0.25,-0.43,-0.66,-0.57
19270901,1.55,0.51,0.41,0.80,0.82,1.19
19270902,1.09,0.63,0.69,0.44,0.64,1.33
19270903,0.83,-0.01,0.31,0.66,0.37,0.51
19270906,-0.12,0.74,0.32,1.02,0.80,1.05
19270907,0.31,0.21,0.20,0.27,0.64,0.89
19270908,-0.69,0.47,-0.20,-0.07,0.15,-0.23
19270909,-0.73,-0.65,-1.06,-0.66,-0.26,-1.50
19270910,0.10,0.26,0.71,0.51,0.42,0.39
19270912,0.12,-0.24,-0.19,-0.49,-0.18,-0.80
19270913,0.98,0.53,0.38,1.43,1.16,1.54
19270914,0.06,-0.12,0.16,0.66,-0.11,0.13
19270915,-0.61,0.56,-0.11,0.37,0.18,-0.17
19270916,-0.18,-0.58,0.13,0.30,-0.07,0.20
19270917,0.14,-0.03,-0.30,-0.33,-0.23,-0.33
19270919,-0.60,-0.61,-0.60,-0.04,-0.70,-0.10
19270920,0.81,0.86,0.61,0.15,0.68,1.16
19270921,-0.41,0.23,0.02,-0.18,0.03,-0.67
19270922,-0.80,-1.07,-1.56,-1.25,-1.05,-1.37
19270923,0.46,0.36,0.63,0.60,0.35,0.72
19270924,0.52,0.16,0.34,0.81,0.57,0.65
19270926,-0.80,-0.75,-1.00,-1.13,-0.89,-0.87
19270927,-0.57,-0.12,-0.27,0.31,0.13,0.11
19270928,-0.39,-0.24,-0.19,-0.57,-0.25,0.19
19270929,0.24,0.49,-0.19,0.18,0.08,0.63
19270930,0.91,0.65,1.17,1.40,1.07,1.19
19271001,0.12,0.41,0.50,0.33,0.46,0.42
19271003,-0.08,0.08,0.71,0.19,0.67,0.56
19271004,0.11,-0.28,-1.10,-0.04,-0.76,-1.34
19271005,-0.17,-0.35,-0.29,-0.10,-0.40,-0.41
19271006,0.08,0.38,0.64,0.26,0.23,0.83
19271007,-0.09,-0.47,-0.78,-0.60,-0.87,-1.42
19271008,-0.76,-0.51,-0.15,-0.23,-0.39,-0.41
19271010,-1.07,-0.40,-1.18,-0.19,-0.73,-0.83
19271011,0.53,0.45,0.15,0.05,0.09,0.21
19271013,1.92,0.36,0.02,0.74,0.66,0.90
19271014,0.82,0.38,0.78,-0.06,0.03,-0.04
19271015,0.34,-0.13,0.87,0.17,-0.12,-0.15
19271017,-1.22,-0.92,-1.78,-1.43,-1.14,-1.41
19271018,-0.02,0.27,-0.41,0.44,0.40,0.62
19271019,-0.59,-0.38,-0.53,-1.21,-0.51,-0.38
19271020,-0.87,-1.06,-1.21,-1.32,-1.02,-0.50
19271021,0.25,0.36,-0.87,-0.89,-0.44,-1.38
19271022,-0.78,-0.67,-0.49,-0.80,-0.62,-0.46
19271024,0.47,0.44,-0.09,0.49,0.45,0.17
19271025,2.06,1.21,1.03,2.08,1.21,1.63
19271026,0.30,0.29,1.05,0.03,0.15,-0.53
19271027,0.03,-0.09,-0.26,-0.45,-0.41,-0.50
19271028,-0.84,-1.19,-2.34,-1.56,-1.43,-2.02
19271029,-1.38,-0.73,-1.11,-0.37,-0.58,-0.63
19271031,0.69,0.40,0.65,0.92,0.68,0.32
19271101,0.17,0.25,0.08,-0.17,0.15,0.23
19271102,0.48,0.12,0.57,1.13,0.95,0.69
19271103,0.69,0.88,1.02,1.07,1.35,1.24
19271104,-0.09,-0.04,0.33,-0.11,-0.02,-0.30
19271105,1.06,0.32,0.81,0.63,0.64,0.87
19271107,1.68,0.21,1.12,0.70,0.59,0.70
19271109,-0.11,-0.43,-0.97,-0.96,-0.70,-0.95
19271110,0.25,0.28,-0.15,0.20,0.39,-0.18
19271111,0.84,0.28,0.47,1.10,0.69,0.89
19271112,0.71,0.48,0.45,0.38,0.48,0.28
19271114,1.14,0.37,1.21,0.46,0.70,0.61
19271115,-0.75,0.38,0.51,0.05,0.30,0.16
19271116,0.43,0.62,0.34,0.05,-0.23,0.37
19271117,-0.17,0.84,0.27,0.18,0.22,-0.39
19271118,0.25,0.98,0.63,0.78,0.46,0.27
19271119,0.67,0.72,0.60,0.34,0.05,0.36
19271121,-0.60,-0.13,-0.34,-0.74,-0.54,-0.16
19271122,0.50,0.21,0.25,0.43,0.47,0.39
19271123,0.71,0.30,0.55,0.18,0.34,0.52
19271125,0.82,0.33,0.79,0.14,0.34,1.03
19271126,0.35,0.69,0.42,-0.03,0.00,-0.09
19271128,-0.72,-1.08,-0.30,-0.77,-0.68,-1.11
19271129,1.29,0.62,1.12,0.85,0.49,0.63
19271130,0.26,0.57,0.23,0.93,0.14,0.42
19271201,-0.72,-0.56,-0.80,-0.73,-0.16,-0.53
19271202,-0.17,-0.82,0.88,0.16,0.42,1.03
19271203,-0.14,0.28,0.43,0.54,0.34,0.46
19271205,-0.34,0.09,0.02,-0.36,-0.48,-0.49
19271206,0.09,0.56,0.01,0.12,-0.11,-0.29
19271207,0.06,-0.75,-1.04,-0.39,-0.67,-0.34
19271208,-0.52,-0.37,-0.99,-0.99,-0.89,-0.83
19271209,1.48,1.12,1.09,1.22,1.00,1.42
19271210,0.54,0.36,0.38,0.01,0.06,-0.26
19271212,1.80,1.10,0.93,0.66,0.42,0.35
19271213,0.62,0.01,-0.10,0.49,0.30,0.59
19271214,-0.24,-0.73,-0.25,-0.50,-0.30,-0.55
19271215,1.11,0.39,0.99,0.45,0.45,1.02
19271216,0.91,0.36,0.13,0.72,0.72,0.76
19271217,-0.70,0.53,0.21,0.03,0.03,0.41
19271219,0.31,0.64,0.17,0.46,0.09,-0.10
19271220,0.08,-0.29,0.01,-0.02,0.16,0.44
19271221,0.10,-0.25,0.05,-0.20,0.00,0.39
19271222,-0.96,-0.42,-0.30,-0.01,0.06,-0.25
19271223,-0.26,0.25,-0.21,0.15,0.31,0.27
19271224,-0.32,0.16,0.54,0.22,0.01,0.17
19271227,0.16,-0.10,0.32,0.22,-0.10,-0.49
19271228,-0.70,-0.12,-0.77,-0.69,-0.63,-1.05
19271229,0.88,0.19,-0.94,0.28,0.22,-0.10
19271230,1.81,0.87,1.08,0.29,0.41,0.94
19271231,0.73,0.19,0.63,0.34,0.20,0.48
19280103,1.63,0.88,1.25,0.42,0.29,0.55
19280104,-0.04,0.54,0.24,-0.05,-0.33,-0.42
19280105,-0.89,-0.55,-0.84,-0.94,-0.57,-0.46
19280106,1.23,0.55,1.52,0.69,0.50,0.52
19280107,-0.60,0.24,0.42,0.18,0.17,-0.26
